Name of contributor and date uploaded,Date of event (M/D/YYYY),Source,Citation (MLA),Violation,Summary,Notes,Classification,
,04/09/2025, Trump orders investigation of two first-term administration aides who criticized him - Politico,"Cancryn, Adam et. al. “Trump Orders Investigation of Two Former Aides for Criticizing Him.” Politico, 9 Apr. 2025, https://www.politico.com/news/2025/04/09/donald-trump-retribution-miles-taylor-00007512. Accessed 14 June 2025.",The use of a Presidential Memorandum to order a Justice Department investigation erodes the DOJ's longheld independence in pursuit of retribution against the President's political enemies. The DOJ's independence has been a norm since Watergate. ,"On April 9, 2025, President Trump signed a memorandum ordering the Department of Justice and Homeland Security to investigate Miles Taylor (former DHS chief of staff) and Christopher Krebs (former CISA director) over their criticism of Trump—Taylor’s 2018 NYT “Anonymous” op-ed and Krebs’ public rebuttal of 2020 election fraud claims. Taylor has responded by filing complaints with the inspectors general, arguing that the action violates First and Fifth Amendment rights and establishes a dangerous precedent for political retribution.",,Norm Violation,
,06/27/2025,University of Virginia President Resigns Under Pressure From Trump Administration - NYT,"Schmidt, Michael S., and Bender, Michael C. ""University of Virginia President Resigns Under Pressure From Trump Administration."" The New York Times, 27 June 2025. https://www.nytimes.com/2025/06/27/us/politics/uva-president-resigns-jim-ryan-trump.html","The resignation of a college President under pressure from the President of the United States undermines academic independence, a core ideal of active civil society and democracy. ","The University of Virginia President James Ryan resigned under pressure from the Trump administration. The Justice Department had demanded he resign as a condition to settle a civil rights investigation into the school's diversity practices. 10 days before the resignation, the Department of Justice had sent a letter to the University issuing a warning to the school over their ""widespread practice"" of race-based consideration in admissions and other student benefits. James Ryan is the first University President to resign after pressured by the Trump administration. ",,Norm Violation,
,07/09/2025,Administration Takes Steps to Target 2 Officials Who Investigated Trump - NYT,"Thrush, Glenn, and Barnes, Julian. ""Administration Takes Steps to Target 2 Officials Who Investigated Trump."" The New York Times, 9 July 2025. https://www.nytimes.com/2025/07/09/us/politics/ratcliffe-brennan-cia.html?smid=url-share",The investigation and criminal referral of high-profile Trump critics on questionable legal grounds would appear to be a targeted effort to punish political opponents and scare dissenters.  ,"The Trump administration is targeting former FBI Director James Comey and former CIA Director John Brennan, who both had major roles in the 2016 Trump-Russia collusion investigation. CIA Director John Ratcliffe has made a criminal referral of Brennan to the FBI, accusing him of lying to Congress. It is unclear if the investigation will lead to charges.",,Norm Violation,
,07/09/2025,"Trump officials used shadowy website to target pro-Palestinian academics for deportation, court records show - Politico","Gerstein, Josh, and Cheney, Kyle. ""Trump officials used shadowy website to target pro-Palestinian academics for deportation, court records show."" Politico, 9 July 2025. https://www.politico.com/news/2025/07/09/pro-palestinian-deportation-documents-trial-00445238 ","The push to deport academics based on their political ideology undermines the important principles of academic freedom and the constitutional right to freedom of speech.  However, the President has broad immigration powers, so for now this is classified as a norm violation. ","The Trump administration has identified pro-Palestinian academics to target for deportation, assembling a team of intelligence analysts that compiled dossiers on about 100 foreign students and professors. Over 75 of those targeted were targeted through an anonymously-run pro-Israel site, Canary Mission. ",,Norm Violation,
,7/21/2025,How Trump’s media war brought Paramount to its knees - WaPo,"Ellison, Sarah, and Barr, Jeremy. ""How Trump’s media war brought Paramount to its knees."" The Washington Post, 2 July 2025. https://wapo.st/4f7bmO2","The Trump Administration's attacks on journalists and news companies undermine the press's independence. While previous administrations have often argued with the media, none have launched such a retributive campaign. An independent press is an integral part of civil society.  ","Donald Trump and Paramount have agreed to a $16 million settlement over allegations by the President's 2024 campaign that CBS had deceptively edited an interview with Kamala Harris to benefit her campaign. 60 Minutes had edited the Vice President's response to a question, selecting a more concise answer. While the Washington Post writes that such decisions are common to fit longer interviews into a 20-minute spot, President Trump saw an effort to influence the election. CBS News President Wendy McMahon resigned in May. ",,Norm Violation,
,7/22/2025,"Trump’s Student Arrests, and the Lawsuit Fighting Them, Tread New Ground - NYT","Montague, Zach. ""Trump’s Student Arrests, and the Lawsuit Fighting Them, Tread New Ground."" The New York Times, 22 July 2025. https://www.nytimes.com/2025/07/22/us/politics/trump-student-arrests-immigration-trial.html Accessed 24 July 2025. ","The administration's unprecedented efforts to deport dissenting noncitizen student activists show a clear disregard for democratic norms regarding academic independence. Additionally, they appear to violate constitutional protections on free speech. ","During a trial in Boston over the administration's efforts to deport student activists, four veteran immigration agents testified that they could not remember ever being asked to make arrests like the ones they carried out on student activists. They said they acted on the orders to Secretary of State Marco Rubio's office. This testimony underscores the lack of legal precedent in President Trump's push to detain and deport noncitizen student activists. ",,Unconstitutional,
,7/22/2025,Trump Escalates Attacks on Obama and Clinton as Questions Swirl About Epstein - NYT,"Broadwater, Luke, and Barnes, Julian. ""Trump Escalates Attacks on Obama and Clinton as Questions Swirl About Epstein."" The New York Times, 22 July 2025. https://www.nytimes.com/2025/07/22/us/politics/trump-obama-clinton-epstein-treason.html Accesssed 24 July 2025. ","The report and Trump's words shows a campaign of retribution against former government officials who, during the Obama administration, found that Russia was engaged in an effort to influence voters to support Donald Trump during the 2016 election. President Obama and the other officials whom Trump named have been prominent critics of the Trump presidency. A campaign of retribution against political enemies shows an administration willing to exert federal authority to target political dissenters. ","After Director of National Intelligence Tulsi Gabbard released a report intended to undermine an eight-year-old assessment that Russia favored President Trump's election in 2016, Donald Trump told reporters, ""It's time to go after people."" The report claimed ""a treasonous conspiracy"" by top Obama officials. The Obama administration had contended that Russia mounted a major effort to influence votes, but did not contend the Russians had manipulated votes. The remarks follow significant backlash over the Administration's actions regarding Jefferey Epstein. ",https://www.nytimes.com/2025/07/18/us/politics/gabbard-obama-trump-russia.html?smid=url-share,Norm Violation,
,8/22/2025,FBI searches ex-national security adviser John Bolton’s house in Maryland - Politico,"Gerstein, Joth et. al. ""FBI searches ex-national security adviser John Bolton's house in Maryland."" Politico, 22 August, 2024. https://www.politico.com/news/2025/08/22/fbi-searches-ex-national-security-adviser-john-boltons-house-in-maryland-00519388 ",The Trump administration has shown a focus on retribution against top Trump critics. The investigation into John Bolton appears to be a continuation of the administration's retributive campaign. ,"FBI Agents searched the home of former National Security Advisor John Bolton. Bolton served during Trump's first term, but has become a major critic since his tenure. Vice-President Vance confirmed an investigation, but maintained that it was not politically motivated. The first Trump administration had investigated Bolton before over classified information handling, but never filed charges. ",,Norm Violation,
,9/6/2025,What Has the Trump Administration Gotten From Law Firms and Universities? - NYT,"Wu, Ashley. ""What Has the Trump Administration Gotten From Law Firms and Universities?."" The New York Times, 6 September 2025. https://www.nytimes.com/interactive/2025/09/06/us/trump-deals-law-firms-universities-concessions.html","These settlements have eroded civil society's independence and reduced its ability to resist democratic backsliding and authoritarian consolidation. The Trump administrations unprecedented pressure campaign certainly violated democratic norms, but some judges have found it to violate the Constitution. ","Since taking office, President Trump has opened civil rights investigations, freezed funding, and threatened to cancel government contracts for and with law firms and universities. Many of these institutions have opted to settle with the administration, offering money or legal services, redefined discrimination, increased government oversight, and reassessed their ideology. ",,Unconstitutional,
,9/20/2025,Trump demands Bondi prosecute political foes in Truth Social posts - WaPo,"Roebuck, Jeremy, et. al. ""Trump demands Bondi prosecute political foes in Truth Social posts."" The Washington Post, 20 September 2025. https://www.washingtonpost.com/national-security/2025/09/20/replacement-named-va-prosecutor-ousted-over-probes-trump-foes/",The posts demonstrate an unprecedented effort to prosecute President Trump's political enemies. Efforts to prosecute or target political enemies simply because of their political statements and ideology would certainly violate the 1st Amendment. ,"In a series of Truth Social Posts, President Trump pressured Attorney General Pam Bondi to prosecute multiple political opponents, including NY AG Letitia James, former FBI Director James Comey, and CA Sen. Adam Schiff. Comey and James had previously been investigated by Trump's DOJ but ultimately not charged. ",,Unconstitutional,
,9/28/2025,Oregon sues Trump administration over plans to deploy troops - BBC,"Yousif, Nadine. ""Oregon sues Trump administration over plans to deploy troops."" BBC, 28 September 2025. https://www.bbc.com/news/articles/cddmn6ge6e2o",Trump's deployed the national guard in response to anti-ICE protests. The use of federal troops to intimidate and suppress protests would violate democratic norms regarding the military's role in domestic law enforcement and political actions. ,"President Donald Trump has ordered the deployment of 200 National Guard troops to Portland, Oregon, for two months to protect federal property amid ongoing protests near immigration detention centers. The move has prompted Oregon to sue the Trump administration, calling the deployment unlawful and likely to provoke unrest. The decision follows Trump’s recent designation of Antifa as a domestic terrorist organization",,Norm Violation,
,9/25/2025,James Comey Indicted on False Statement Charges - WSJ,"Gurman, Sadie, and Wheeler, Lydia. ""James Comey Indicted on False Statement Charges."" The Wall Street Journal, 25 September 2025.  https://www.wsj.com/us-news/law/james-comey-indicted-on-false-statement-charges-2c896df2?mod=hp_lead_pos1","The indictment seeks to punish Comey for his opposition to President Trump, which violates Constitutional rights regarding free speech and equal protection. The indictment was brought following Trump's public message to Attorney General Pam Bondi, calling for the prosecution. Additionally, former District Attorney Erik Siebert had refused to bring the case, leading to his ouster. ","A federal grand jury indicted James Comey on charges of making false statements and perjury. The indictment, which came days before the statute of limitations was set to expire, follows pressure from President Trump. The indictment accuses Comey of lying to Congress regarding whether he authorized someone at the FBI to be an anonymous source in news reports. The prosecutor, Lindsay Halligan, was appointed by Trump after Erik Siebert resigned. Siebert had decided against bring charges related to Comey. ",,Unconstitutional,
,9/26/2025," Cheering Comey indictment, Trump predicts ‘there will be others’ - Politico","Stokols, Eli. ""Cheering Comey indictment, Trump predicts ‘there will be others’."" Politico, 26 September 2025. https://www.politico.com/news/2025/09/26/cheering-comey-indictment-trump-predicts-there-will-be-others-00582321","Trump's statement previews his hopes regarding the prosecution of his political enemies. Although he argues he did not pressure the DOJ, the indictment followed a Truth Social post targeted at Pam Bondi that called for the prosecution of several prominent critics and said, ""We cannot delay any longer."" Trump's public comments regarding his hopes for future indictments pressures the Justice Department, violating its longheld independence. ","President Trump, talking to the media, celebrated former FBI Director James Comey's indictment and said, ""I hope there will be others."" He also denied that he had pressured the DOJ to bring the charges, arguing that it is about justice, not revenge.  ",,Norm Violation,
,10/1/2025, Government agencies are blaming the shutdown on Democrats. Ethics experts say it could be against the law. - Politico,"Wardwell, Faith. ""Government agencies are blaming the shutdown on Democrats. Ethics experts say it could be against the law."" Politico, 1 October 2025. https://www.politico.com/news/2025/10/01/shutdown-agencies-hatch-act-00590757 ","The actions appear to violate the Anti-Lobbying Act and Hatch Act. These are efforts to use government goods and services to electorally punish political enemies, such as Democratic legislators. ","Agencies through the federal government are using banners and out-of-office emails to explicitly blame Democrats for the shutdown. On the Department of Housing and Urban Development's website, a banner read ""The radical left are going to shut down the government."" A handful of other agencies had similar messages. The Anti-Lobbying Act prohibits the use of appropriate funds to lobby in support or opposition to congressional legislation, and the Hatch Act limits the poltiical activities of federal employees who work with federal funded programs. ",,Unlawful,
,10/4/2025,Trump Seizes On Shutdown to Punish Political Foes - NYT,"Romm, Tony. ""Trump Seizes On Shutdown to Punish Political Foes."" New York Times, 4 October 2025. https://www.nytimes.com/2025/10/04/us/politics/trump-shutdown-punish-foes.html?login=smartlock&auth=login-smartlock","The Trump administration is using the shutdown to punish and gain leverage on the opposition party. Additionally, cancelling congressionally authorized funds may violate the appropriations power granted to Congress. The pressure campaign is an unprecedented effort to target political foes. ","Since the shutdown began, the Trump Administration has cancelled or delayed more than $27 billion to federal states, most of them run by Democrats. The Administration maintains that they are attempting to save money and prevent waste. However, President Trump has publicly suggest cuts for ""Democratic agencies."" Many of the states and municipalites have sued in response.",,Norm Violation,
,10/9/2025,New York Attorney General Letitia James Is Charged With Bank Fraud - WSJ,"Gurman, Sadie, et. al. ""New York Attorney General Letitia James Is Charged With Bank Fraud."" Wall Street Journal, 9 October 2025. https://www.wsj.com/politics/justice-department-secures-indictment-of-new-york-attorney-general-letitia-james-0cc2ce4f?mod=law_more_article_pos1","As New York Attorney General, Letitia James filed a civil fraud case against the Trumps and the Trump Organization. Eastern Virginia's previous attorney, Erik Siebert, had resigned under pressure after refusing to bring charges against former FBI Director James Comey and Letitia James. The prosecutions appear to be politically motivated and exemplify the President's campaign of retribution. ","NY Attorney General Letitia James has been indicted on counts of bank fraud and making false statements to financial institutions. The case was presented by Lindsay Halligan, Trump's former personal lawyer, whom the President appointed as the US Attorney in Eastern Virginia after Erik Siebert's resignation. The charges pertain to James' purchase of a three-bedroom home in Norfolk, Virginia. ",,Norm Violation,
,9/17/2025,Trump says he’ll designate antifa as a terrorist group but offers few details - AP,"Min Kim, Seung. ""Trump says he’ll designate antifa as a terrorist group but offers few details."" The Associated Press, 17 September 2025. https://apnews.com/article/trump-antifa-terrorist-protests-0c6353e2c3da13da1596b3857cb59922","Antifa is an ideology, not a terrorist organization, that has opposed many of the President's actions and policies. This action targets a broad-base of vocal Trump critics, which is relevant to understand how the Trump administration treats political opponents. ","President Trump designated ANTIFA as a domestic as a domestic terrorist group, without offering more details. Antifa is an umbrella term for far-left militant groups in the United States. ",,Norm Violation,
,10/17/2025,How Trump Is Using the Justice Department to Target His Enemies - NYT,"Feuer, Alan, and Boyce, Lily. ""How Trump Is Using the Justice Department to Target His Enemies."" The New York Times, 17 October 2025. ",The DOJ prosecutions and investigations are part of the Trump administration's retribution campaign against former political enemies of Donald Trump. These prosecutions harm protected speech and weaken civil society's capacity to prevent democratic backsliding.,"The DOJ has indicted James Comey and Letitia James and is investigating Adam Schiff. It has otherwise targeted John Brennan, Fani Willis, and the Open Society Foundation. These are all perceived political opponents or dissenters of Donald Trump. ",,,
,11/21/2025,Trump says 'seditious' Democrats urging US troops to refuse illegal orders should face death - Reuters,"Chicau, Doina, et. al. ""Trump says 'seditious' Democrats urging US troops to refuse illegal orders should face death."" Reuters, 21 November 2025. https://www.reuters.com/world/us/trump-says-democrats-who-told-us-military-refuse-illegal-orders-deserve-death-2025-11-20/","Calling for the execution of political opponents certainly violates established democratic norms regarding respect for political speech. Carrying out prosecutions and executions would likely violate the Constitution's freedom of speech protections, not to mention that sedition is not punishable by death for US civilians. ","After six Democrats released a video telling US military members to refuse illegal orders, President Trump called the video ""SEDITIOUS BEHAVIOR, punishable by DEATH!""",,Norm Violation,
,11/25/2025,Pentagon Investigates Misconduct Allegations Against Democratic Sen. Mark Kelly - WSJ,"De Avila, Joseph. ""Pentagon Investigates Misconduct Allegations Against Democratic Sen. Mark Kelly."" The Wall Street Journal, 25 November 2025. https://www.wsj.com/politics/mark-kelly-senator-pentagon-probe-10060a16?mod=hp_lead_pos4",The investigation appears to be an attempt to punish a Democratic lawmaker over lawful comments that contradict the Trump administration's policy. This could harm civil society's will and capacity to resist authoritarian consolidation. ,"The Pentagon announced an investigation into Democratic Senator Mark Kelly, a former US Navy Captain, regarding his video urging troops to disobey unlawful orders. The Pentagon referenced court-martial or other administrative measures. ",,Norm Violation,
,1/5/2026, Pentagon moves to punish senator for anti-Trump video - Politico,"Shane III, Leo, and Connor O'Brien. ""Pentagon moves to punish senator for anti-Trump video."" Politico, 5 January 2026. https://www.politico.com/news/2026/01/05/hegseth-kelly-punish-video-00710555",The action appears to target a Democratic Senator for lawful comments reminding service members to refuse unlawful orders.  ,"The Pentagon is moving to demote and reduce the pay of US. Senator Mark Kelly. Kelly, a Democrat, appeared in a video directing US servicemembers to refuse illegal orders. ",,Norm Violation,
,1/11/2026,"DOJ opens probe into Fed’s Powell, drawing backlash from lawmakers - Politico","Guida, Victoria, et. al. ""DOJ opens probe into Fed’s Powell, drawing backlash from lawmakers."" Politico, 11 December 2026. https://www.politico.com/news/2026/01/11/doj-probe-fed-powell-statements-headquarters-00721679 ",The investigation represents an effort to punish Fed Chair Jerome Powell over his efforts to separate Fed policy from the desires of President Trump. ,The Justice Department has opened a criminal investigation into Federal Reserve Chair Jerome Powell. The investigation centers on Powell's comments to Congress regarding the renovation of the Fed's headquarters. Powell criticized the investigation. President Trump has long criticized Powell and express his desire to fire him. ,,Norm Violation,
,1/14/2026,Senator Says Prosecutors Are Investigating Her After Video About Illegal Orders - NYT,"Jaffe, Greg. ""Senator Says Prosecutors Are Investigating Her After Video About Illegal Orders."" The New York Times, 14 January 2025. https://www.nytimes.com/2026/01/13/us/politics/slotkin-pirro-trump-justice-dept-video.html",The prosecution is part of an unprecedent attempt to punish political adversaries. ,"Democratic Senator Elissa Slotkin said that federal prosecutors are investigating her after she appeared in a video remind servicemembers that they can violate illegal orders. The inquiry came from the office of Jeanine Pirro, the US Attorney for Washington DC.",,Norm Violation,
,1/14/2026,Three more Democratic lawmakers say federal prosecutors are investigating them over a video. - NYT,"Jaffe, Greg. ""Three more Democratic lawmakers say federal prosecutors are investigating them over a video."" The New York Times, 14 January 2026. https://www.nytimes.com/2026/01/14/us/politics/crow-goodlander-houlahan-trump-investigation.html?smid=url-share",The effort to target political adversaries is part of an unprecedent campaign of retribution.,"Four Democratic lawmakers, Jason Crow, Maggie Goodlander, Chris DeLuzio, and Chrissy Houlahon, said they are subjects of investigation by US Attorney Jeanine Pirro. The investigation centers on a video where several lawmakers reminded servicemember that they could disobey illegal orders. ",,Norm Violation,
,1/16/2026,Trump Administration Begins Criminal Inquiry Into Minnesota Leaders - NYT,"Thrush, Glenn, et. al. ""Trump Administration Begins Criminal Inquiry Into Minnesota Leaders."" The New York Times, 16 January 2026. https://www.nytimes.com/2026/01/16/us/politics/tim-walz-jacob-frey-investigation-trump.html","The investigation targets two vocal critics of the President, including Kamala Harris's former runningmate. The investigation appears to continue the Trump administration's unprecedent retribution campaign against vocal critics. ","The Justice Department has opened a criminal investigation into Minnesota's elected Democrats, including Governor Walz and Minneapolis Mayor Frey. The investigation focuses on allegations that the leaders conspired to impede federal agents. The investigation comes after an ICE Agent shot and killed a woman in Minneapolis.",,Norm Violation,
,1/21/2026,Trump says individuals will soon be prosecuted for 2020 election - Politico,"Daniels, Cheyanne. ""Trump says individuals will soon be prosecuted for 2020 election."" Politico, 21 January 2026. https://www.politico.com/news/2026/01/21/trump-2020-election-prosecutions-00738778","Prosecuting individuals over the President's false claims of election fraud would punish Trump opponents for defeating him in an election, a clear blow for democracy.",President Donald Trump said that individuals will soon be prosecuted over the 2020 election. It was not clear who would face prosecution or for what crimes. Trump has falsely claimed that he won the 2020 Presidential election. ,,Norm Violation,
,1/21/2026,Investigations and a Billion-Dollar ‘Shakedown’: How Trump Targeted Higher Education - NYT,"Bender, Michael C, et. al. ""Investigations and a Billion-Dollar ‘Shakedown’: How Trump Targeted Higher Education."" The New York Times, 21 January 2026. https://www.nytimes.com/2026/01/21/us/politics/trump-higher-education-2025.html?smid=url-share","The effort is part of the Trump Administration's unprecedented campaign against dissent. The effort to target higher education can suppress vocal pockets of dissent, which often resist authoritarian efforts. Some steps were found unlawful by federal courts. ","Using federal civil rights investigations and revoking funding, the Trump Administration has targeted higher education. Investigations have centered on blue-state universities or elite colleges and universities. Many have settled, while others have changed policy to prevent being targeted. The investigation involved several norm-breaking steps, like proceeding a formal inquiry before conducting a normal fact-finding effort.  ",,Unlawful,
,1/22/2026,Trump budget office orders review of funds to Democratic-controlled states - WaPO,"Bogage, Jacob. ""Trump budget office orders review of funds to Democratic-controlled states."" The Washington Post, 22 January 2026. https://www.washingtonpost.com/business/2026/01/22/democratic-states-federal-funding-review/",The effort to investigate only Democratic-controlled states appears to be an effort to punish dissenting local governments. ,"The White House Office of Management and Budget ordered all federal agencies, excluding the Defense and Veterans Affairs Departments, to report every grant, loan, contract, and other monetary awards to 14 Democratic-controlled states and Washington DC. The order does not involved withholding funds.",,Norm Violation,
,1/30/2026,Don Lemon Released Without Bond Over Minnesota Protest Charge - NYT,"Aleaziz, Hamed et. al. ""Don Lemon Released Without Bond Over Minnesota Protest Charge."" The New York Times, 30 January 2026. https://www.nytimes.com/2026/01/30/us/don-lemon-arrest-minnesota-church-protest.html","The prosecution is an attempt to punish journalists for covering topics unfavorable to the President and is a rare prosecution against journalists for their work. While this has not officially been found unconstitutional, it certainly violates democratic norms regarding press freedom. ","Independent journalist Don Lemon and three other people were arrested on federal charges of a conspiracy deprive the congregants of a church of their rights and interfering with religious freedom in a house of worship. The indictments are related to a protest against a pastor at a Minneapolis Church and named nine people, seven protesters, and two journalists. A Minnesota magistrate initially rejected charges against four of the seven people, including the charges against Lemon. A federal district court declined to overrule the decision, so prosecutors received approval from a grand jury.",,Norm Violation,
,1/15/2026,Video Analysis of ICE Shooting Sheds Light on Contested Moments - NYT," ""Video Analysis of ICE Shooting Sheds Light on Contested Moments."" The New York Times, 15 January 2026. https://www.nytimes.com/2026/01/15/video/ice-shooting-renee-good-minneapolis-videos.html?smid=url-share","The video footage contradicts the account of President Trump and his administration, which accused Good of weaponizing her vehicle. The shooting represents an act of brutality by federal forces and could be considered an attempt to punish dissent towards ICE Operations. ","Video footage of the shooting of Renée Good shows that Johnathon Ross, the agent who shot Good, was not hit by her car. It also shows him placing himself in a dangerous position near her car. ",,Norm Violation,
,1/24/2026,Man shot dead by federal immigration officers in Minneapolis - NPR,"Thompson, Cheryl. ""Man shot dead by federal immigration officers in Minneapolis."" NPR, 24 January 2026. https://www.npr.org/2026/01/24/nx-s1-5687276/man-shot-dead-minneapolis","The shooting represents another act of brutality by federal immigration officers in what could be considered an attempt to punish public dissent towards ICE Operations. While the law surrounding shootings by federal officers is complicated and this shooting may not be considered unlawful, it is certainly a violation of norms surrounding the purpose, deployment, and use of force by federal immigration officers.","Alex Pretti, 37, was shot and killed by federal immigration officers. A bystander video shows federal agents surrounding a man on the ground, trying to punch and restrain him before an agent shoots him. From the initial video, it is unclear if he brandished or tried to use a firearm. Border Patrol Chief Gregory Bovino said agents attempted to disarm a man who approached federal agents with a hangun, before he violently resisted and agents shot him in self defense. ",,Norm Violation,
,2/10/2026,D.C. grand jury declines to indict six Democratic lawmakers - WaPo,"Stein, Perry, and Salvador Rizzo. ""D.C. grand jury declines to indict six Democratic lawmakers."" The Washington Post, 10 February 2026. https://www.washingtonpost.com/national-security/2026/02/10/dc-grand-jury-kelly-slotkin-pirro/","Although rejected, the attempted indictment shows the administration's unprecedent and norm-breaking effort to target political enemies through legal actions. The indictment demonstrates an independent judiciary. ","A federal grand jury declined to indict six Democratic lawmakers who released a video that advised current military members to reject ""illegal orders."" ",,Norm Violation,
,2/24/2026,Justice Department Sues University of California Over Antisemitism - NYT,"Blinder, Alan, et al. ""Justice Department Sues University of California Over Antisemitism."" The New York Times, 24 February 2026. https://www.nytimes.com/2026/02/24/us/justice-department-ucla-lawsuit.html",The lawsuit represents a continuation of the administration's attempt to silence dissent in academia. ,The Trump Administration sued the University of California for endemic antisemitism on its Los Angeles Campus that they argue compromised the civil rights of Jewish students. The suit comes after the Justice Department sought policy concessions and over $1 billion from the University. ,,Norm Violation,
,2/27/2026, ‘Horrifying’: Hollywood blasts Trump’s role in studio sale - Politico,"Miller, Daniel. ""Horrifying’: Hollywood blasts Trump’s role in studio sale."" Politico, 27 February 2026. https://www.politico.com/news/2026/02/27/horrifying-hollywood-blasts-trumps-role-in-studio-sale-00802771","Although the effects remain unclear in the Warner Bros. Discovery deal, President Trump has consistently attempted to influence Hollywood and Corporate media. This poses danger to the credibility of the news media ecosystem, which is important to a functioning democracy.","Some entertainment executives and democratic politicians worry that President Trump interfered in the Warner Bros. Discovery Sale. Paramount Skydance, run by CEO Larry Ellison, agreed to purchase Warner Bros. Discovery after Netflix backed out of the bidding war. Larry Ellison has ties to Trump, while Donald Trump demanded last week that Netflix fire former Democratic national security advisor Susan Rice or ""pay the consequences."" ",,Norm Violation,
,3/10/2026,Justice Department leans on prosecutors in Brennan probe as other Trump-foe investigations fizzle - CNN,"Polantz, Katelyn et al., ""Justice Department leans on prosecutors in Brennan probe as other Trump-foe investigations fizzle."" CNN, 10 March 2026. https://www.cnn.com/2026/03/10/politics/brennan-trump-political-foe-prosecution","The pressure to indicted John Brennan shows the erosion of longstanding democratic norms within US Government and the Department of Justice, mainly the principles of apolitical rule of law and the separation between White House and DOJ. ","Top Justice Department Officials are pressuring prosecutors to bring charges against former CIA Director John Brennan, relating to testimony he gave to Congress in 2023 and the Russia investigation. The pressure comes after President Trump called Brennan and others part of ""Obama's Russia HOAX Treason Club.""",,Norm Violation,
,5/31/2026,Here Are the Adversaries Trump Has Threatened and Prosecuted - WSJ,"Wheeler, Lydia, and Drew An-Pham. ""Here Are the Adversaries Trump Has Threatened and Prosecuted."" The Wall Street Journal, 31 May 2026. https://www.wsj.com/politics/policy/trump-prosecutions-visual-guide-ef488d01?mod=law_more_article_pos6 ",Donald Trump's campaign of retribution is an unprecedented attempt to leverage the US Government against political enemies in a way that harms democratic norms of freedom of dissent and an apolitical justice system. It may also violate the Constitution. ,"Since taking office, the Trump administration has threatened, investigated, and prosecuted several of President Trump's perceived political enemies. This article lists and classifies the people who have been targeted by the second Trump administration. ",,Norm Violation,
,3/22/2026, Trump’s voter crackdown reaches college campuses - Politico,"Quilantan, Bianca. ""Trump’s voter crackdown reaches college campuses."" Politico, 22 March 2026. https://www.politico.com/news/2026/03/22/trumps-voter-crackdown-reaches-college-campuses-00837068","Critics argue that the Trump administration's policies are an effort to suppress youth voting. High voter turnout is important for safeguarding vertical accountability, an important democratic norm.   ","In a newly released guidance, the Trump administration barred colleges from using a federal program that employs low-income students to register voters. The Trump administration also threatened to investigate schools if they use data from a non-partisan study to help boost turnout.",,Norm Violation,
,1/15/2026,Journalists confront new reality in reporting after FBI raid - WaPo ,"Ellison, Sarah, Patrick Marley, Coby Itkowitz. ""Journalists confront new reality in reporting after FBI raid."" The Washington Post, 15 January 2026. https://www.washingtonpost.com/politics/2026/01/15/fbi-search-reporters-reactions/","Law enforcement rarely conducts searches of journalists' homes, and federal regulations are designed to make it difficult to use aggressive tacticts to obtain the identities of journalists' sources. The Washington Post characterized this as an unusual step that could risk journalistic freedom. ","FBI Agents searched the home of a Washington Post reporter, Hannah Natanson, as part of an investigation into a government contractor accused of illegally retaining classified information. The Washington Post also received a subpoena. Investigators told Natanson that she is not the focus of the probe. ",,Norm Violation,
,3/20/2026,Trump Administration Sues Harvard Over Antisemitism Allegations - WSJ,"Gurman, Sadie, and Douglas Belkin. ""Trump Administration Sues Harvard Over Antisemitism Allegations."" The Wall Street Journal, 20 March 2026. https://www.wsj.com/us-news/education/trump-harvard-lawsuit-civil-rights-jewish-e3326b0b?mod=education_news_article_pos1","Since taking office, the Trump administration has taken several steps against Harvard and other elite universities. Critics argue that this is an unprecedented effort to punish left-leaning universities and increase government control over higher education. Academic independence is an important democratic norm. ","The Trump administration filed a lawsuit against Harvard, alleging that it violated the civil rights of Jewish students by ignoring hostility on campus and refusing to enforce anti-harassment rules. The suit seeks to force Harvard to comply with civil rights law and recover millions of taxpayer dollars that Harvard accepted. ",,Norm Violation,
,3/23/2026,Pentagon adopts new press restrictions after court order against previous limits - Reuters,"Singh, Kanishka, and Ismail Shakil. ""Pentagon adopts new press restrictions after court order against previous limits."" Reuters, 23 March 2026. ",Press freedom activists argue that the new policy violates the previous court ruling. ,"After a court blocked its previous press access policy, the Pentagon implemented a new policy that would require journalists to be escorted at all times by authorized Defense Department personnel. The Department also shut down the journalist's traditional workplace and will establish a new one on the ground outside the main building. ",,Unlawful,
,3/24/2026,Prosecutor admits government lacks evidence of misconduct by Fed chair - WaPo,"Rizzo, Salvador, and Andrew Ackerman. ""Prosecutor admits government lacks evidence of misconduct by Fed chair."" The Washington Post, 24 March 2026. https://www.washingtonpost.com/national-security/2026/03/24/powell-fed-chair-subpoena-prosecutor/",Judge Boasberg found that the grand-jury subpeonas were an unlawful attempt to undermine the independece of the Federal Reserve. ,"In a closed-door hearing about the legality of two grand jury subpoenas, G.A. Massuco-LaTaif, the Chief of the Criminal Division of the US Attorney's Office in DC, acknowledged that the Justice Department did not yet have evidence of wrongdoing in its criminal investigation of the Federal Reserve over the cost of its building renovations. Judge Boasberg, who presided over the hearing, found the subpoenas to be an illegal effort by the Trump administration to pressure Fed Chair Jerome Powell. ",,Unlawful,
